id,height,weight,age,birthday,longitude,latitude,wkt,location,address
30069,180,85,36,1980/01/02,120.896730,24.581970,POINT (120.896730 24.581970),Miaoli,"Miaoli, T'ai-wan"
30070,181,69,49,1967/05/11,121.516419,25.048074,POINT (121.516419 25.048074),Taipei,"Taipei, T'ai-wan"
30071,159,67,33,1983/11/08,121.270801,24.936046,POINT (121.270801 24.936046),Taoyuan City,"Taoyuan City, T'ai-wan"
30072,182,75,32,1984/12/27,120.978216,24.843988,POINT (120.978216 24.843988),Hsinchu,"Hsinchu, T'ai-wan"
30073,181,78,32,1984/11/12,121.786801,25.159467,POINT (121.786801 25.159467),Keelung,"Keelung, T'ai-wan"
30074,184,60,25,1991/10/14,120.508175,23.789551,POINT (120.508175 23.789551),Douliu,"Douliu, T'ai-wan"
30075,164,60,21,1995/02/16,121.510289,25.095931,POINT (121.510289 25.095931),Taipei,"Taipei, T'ai-wan"
30076,183,94,29,1987/11/25,121.528611,25.097873,POINT (121.528611 25.097873),Taipei,"Taipei, T'ai-wan"
30077,151,74,18,1998/12/12,121.155034,22.705585,POINT (121.155034 22.705585),Taitung,"Taitung, T'ai-wan"
30078,161,92,36,1980/09/18,120.210839,22.965017,POINT (120.210839 22.965017),Tainan,"Tainan, T'ai-wan"
30079,175,90,22,1994/12/19,120.588974,23.723260,POINT (120.588974 23.723260),Douliu,"Douliu, T'ai-wan"
30080,173,78,39,1977/03/27,120.986707,24.851329,POINT (120.986707 24.851329),Hsinchu,"Hsinchu, T'ai-wan"
30081,165,93,33,1983/09/28,121.756650,24.731134,POINT (121.756650 24.731134),Yilan,"Yilan, T'ai-wan"
30083,181,100,25,1991/03/26,121.507984,25.002955,POINT (121.507984 25.002955),Taipei,"Taipei, T'ai-wan"
30084,184,90,32,1984/06/07,120.220774,22.948998,POINT (120.220774 22.948998),Tainan,"Tainan, T'ai-wan"
30085,162,74,25,1991/11/10,121.209676,24.969980,POINT (121.209676 24.969980),Taoyuan City,"Taoyuan City, T'ai-wan"
30086,160,76,40,1976/02/14,121.251961,24.933903,POINT (121.251961 24.933903),Taoyuan City,"Taoyuan City, T'ai-wan"
30087,176,85,23,1993/01/23,120.671693,24.174602,POINT (120.671693 24.174602),Taichung,"Taichung, T'ai-wan"
30088,166,69,35,1981/09/15,121.286408,24.957309,POINT (121.286408 24.957309),Taoyuan City,"Taoyuan City, T'ai-wan"
30089,164,79,45,1971/07/22,120.672055,24.153846,POINT (120.672055 24.153846),Taichung,"Taichung, T'ai-wan"
30090,177,52,21,1995/12/12,121.534871,25.036264,POINT (121.534871 25.036264),Taipei,"Taipei, T'ai-wan"
30091,155,55,19,1997/08/11,-90.533538,38.713281,POINT (-90.533538 38.713281),Maryland Heights,"Maryland Heights, Missouri"
30092,157,74,19,1997/03/28,121.751198,24.732375,POINT (121.751198 24.732375),Yilan,"Yilan, T'ai-wan"
30093,182,87,41,1975/12/16,121.459567,25.022672,POINT (121.459567 25.022672),Banqiao,"Banqiao, T'ai-pei"
30094,174,64,33,1983/04/21,121.567511,25.023751,POINT (121.567511 25.023751),Taipei,"Taipei, T'ai-wan"
30095,164,95,50,1966/03/10,121.259126,24.929995,POINT (121.259126 24.929995),Taoyuan City,"Taoyuan City, T'ai-wan"
30096,172,63,22,1994/11/08,121.583184,25.064273,POINT (121.583184 25.064273),Taipei,"Taipei, T'ai-wan"
30097,160,99,39,1977/09/07,121.573868,25.043597,POINT (121.573868 25.043597),Taipei,"Taipei, T'ai-wan"
30098,183,100,40,1976/10/04,120.403377,22.655542,POINT (120.403377 22.655542),Pingtung,"Pingtung, T'ai-wan"
30099,182,82,27,1989/06/18,121.405891,25.089457,POINT (121.405891 25.089457),Banqiao,"Banqiao, T'ai-pei"
30100,184,79,37,1979/01/02,121.512866,25.083085,POINT (121.512866 25.083085),Taipei,"Taipei, T'ai-wan"
30101,164,57,38,1978/11/24,8.442511,52.859550,POINT (8.442511 52.859550),Wildeshausen,"Wildeshausen, Niedersachsen"
30103,182,75,34,1982/08/20,120.341921,22.696843,POINT (120.341921 22.696843),Fengshan,"Fengshan, T'ai-wan"
30104,165,88,23,1993/06/08,121.587354,25.043153,POINT (121.587354 25.043153),Taipei,"Taipei, T'ai-wan"
30105,178,99,32,1984/12/02,121.513893,25.034834,POINT (121.513893 25.034834),Taipei,"Taipei, T'ai-wan"
30107,184,73,38,1978/04/02,121.487428,25.060779,POINT (121.487428 25.060779),Banqiao,"Banqiao, T'ai-pei"
30108,155,60,25,1991/06/17,121.267523,24.999382,POINT (121.267523 24.999382),Taoyuan City,"Taoyuan City, T'ai-wan"
30109,167,79,32,1984/03/24,120.250226,22.995028,POINT (120.250226 22.995028),Tainan,"Tainan, T'ai-wan"
30110,175,75,38,1978/10/05,121.598674,25.004311,POINT (121.598674 25.004311),Taipei,"Taipei, T'ai-wan"
30111,152,73,26,1990/06/24,121.545569,25.092907,POINT (121.545569 25.092907),Taipei,"Taipei, T'ai-wan"
30112,174,93,45,1971/05/03,120.310229,22.618500,POINT (120.310229 22.618500),Kaohsiung,"Kaohsiung, Kao-hsiung"
30113,170,92,47,1969/03/21,121.523040,25.021215,POINT (121.523040 25.021215),Taipei,"Taipei, T'ai-wan"
30114,154,62,22,1994/02/08,121.216780,24.856964,POINT (121.216780 24.856964),Daxi,"Daxi, T'ai-wan"
30115,166,63,37,1979/05/20,121.487044,25.027588,POINT (121.487044 25.027588),Banqiao,"Banqiao, T'ai-pei"
30116,176,60,35,1981/05/14,121.753332,24.771759,POINT (121.753332 24.771759),Yilan,"Yilan, T'ai-wan"
30117,161,98,41,1975/02/07,121.244974,24.930697,POINT (121.244974 24.930697),Taoyuan City,"Taoyuan City, T'ai-wan"
30118,168,48,46,1970/03/01,121.480874,25.065544,POINT (121.480874 25.065544),Banqiao,"Banqiao, T'ai-pei"
30119,170,70,18,1998/07/04,121.561842,25.004413,POINT (121.561842 25.004413),Taipei,"Taipei, T'ai-wan"
30120,155,61,19,1997/10/25,121.751920,24.720119,POINT (121.751920 24.720119),Yilan,"Yilan, T'ai-wan"
30121,173,88,30,1986/09/25,120.717297,23.737235,POINT (120.717297 23.737235),Lugu,"Lugu, T'ai-wan"
30122,179,94,32,1984/01/26,120.667679,24.165109,POINT (120.667679 24.165109),Taichung,"Taichung, T'ai-wan"
30123,170,71,39,1977/05/02,120.952392,23.949623,POINT (120.952392 23.949623),Buli,"Buli, T'ai-wan"
30124,182,46,28,1988/04/14,120.242768,22.952919,POINT (120.242768 22.952919),Tainan,"Tainan, T'ai-wan"
30125,161,91,36,1980/06/18,120.931990,24.890058,POINT (120.931990 24.890058),Hsinchu,"Hsinchu, T'ai-wan"
30126,165,52,37,1979/06/20,120.617588,24.117242,POINT (120.617588 24.117242),Taichung,"Taichung, T'ai-wan"
30127,182,62,22,1994/08/14,121.529114,25.070053,POINT (121.529114 25.070053),Taipei,"Taipei, T'ai-wan"
30128,178,86,28,1988/12/28,120.610606,24.162997,POINT (120.610606 24.162997),Taichung,"Taichung, T'ai-wan"
30129,162,52,33,1983/10/06,120.347100,22.632219,POINT (120.347100 22.632219),Kaohsiung,"Kaohsiung, Kao-hsiung"
30130,167,60,48,1968/04/20,121.273978,24.948070,POINT (121.273978 24.948070),Taoyuan City,"Taoyuan City, T'ai-wan"
30131,185,67,19,1997/10/12,138.597678,-34.072513,POINT (138.597678 -34.072513),Adelaide,"Adelaide, South Australia"
30132,181,71,31,1985/12/13,120.960089,23.929319,POINT (120.960089 23.929319),Buli,"Buli, T'ai-wan"
30133,185,69,30,1986/02/27,120.447922,23.472998,POINT (120.447922 23.472998),Jiayi Shi,"Jiayi Shi, T'ai-wan"
30139,151,68,23,1993/01/28,121.469901,25.008276,POINT (121.469901 25.008276),Banqiao,"Banqiao, T'ai-pei"
30140,153,60,31,1985/09/26,121.560094,25.051481,POINT (121.560094 25.051481),Taipei,"Taipei, T'ai-wan"
30141,162,81,43,1973/03/04,120.626510,24.126762,POINT (120.626510 24.126762),Taichung,"Taichung, T'ai-wan"
30142,169,77,32,1984/09/19,120.977551,24.886865,POINT (120.977551 24.886865),Hsinchu,"Hsinchu, T'ai-wan"
30143,176,79,24,1992/09/08,121.501521,25.043476,POINT (121.501521 25.043476),Taipei,"Taipei, T'ai-wan"
30144,181,75,38,1978/09/16,121.544901,25.038567,POINT (121.544901 25.038567),Taipei,"Taipei, T'ai-wan"
30145,181,55,39,1977/05/12,120.785787,22.050923,POINT (120.785787 22.050923),Hengchun,"Hengchun, T'ai-wan"
30146,160,63,45,1971/12/27,121.571722,25.070564,POINT (121.571722 25.070564),Taipei,"Taipei, T'ai-wan"
30147,156,59,21,1995/07/24,121.291366,24.976044,POINT (121.291366 24.976044),Taoyuan City,"Taoyuan City, T'ai-wan"
30148,172,94,49,1967/10/02,121.527589,25.006340,POINT (121.527589 25.006340),Taipei,"Taipei, T'ai-wan"
30149,179,69,47,1969/11/28,120.294028,22.995696,POINT (120.294028 22.995696),Tainan,"Tainan, T'ai-wan"
30150,185,66,42,1974/09/16,9.688280,59.115828,POINT (9.688280 59.115828),Porsgrunn,"Porsgrunn, Telemark"
30151,185,65,18,1998/10/28,119.511081,23.573747,POINT (119.511081 23.573747),Ma-kung,"Ma-kung, T'ai-wan"
30152,164,86,33,1983/02/19,120.751558,24.222211,POINT (120.751558 24.222211),Fengyuan,"Fengyuan, T'ai-wan"
30153,182,72,36,1980/10/22,120.344550,22.613594,POINT (120.344550 22.613594),Kaohsiung,"Kaohsiung, Kao-hsiung"
30154,157,47,21,1995/02/12,134.988866,34.751411,POINT (134.988866 34.751411),Miki,"Miki, Hyogo"
30155,184,73,28,1988/08/05,120.655754,23.956426,POINT (120.655754 23.956426),Nantou,"Nantou, T'ai-wan"
30156,179,60,19,1997/01/01,120.531472,24.021076,POINT (120.531472 24.021076),Chang-hua,"Chang-hua, T'ai-wan"
30157,174,68,20,1996/10/10,120.336865,22.675254,POINT (120.336865 22.675254),Fengshan,"Fengshan, T'ai-wan"
30158,174,88,41,1975/02/05,120.415908,23.480378,POINT (120.415908 23.480378),Jiayi Shi,"Jiayi Shi, T'ai-wan"
30159,170,56,26,1990/07/07,121.582544,25.008701,POINT (121.582544 25.008701),Taipei,"Taipei, T'ai-wan"
30160,162,78,20,1996/01/20,121.519687,25.054246,POINT (121.519687 25.054246),Taipei,"Taipei, T'ai-wan"
30161,173,68,42,1974/03/04,121.545364,25.009394,POINT (121.545364 25.009394),Taipei,"Taipei, T'ai-wan"
30162,165,68,25,1991/03/16,121.423845,25.027672,POINT (121.423845 25.027672),Banqiao,"Banqiao, T'ai-pei"
30163,184,50,21,1995/07/07,121.430498,25.067072,POINT (121.430498 25.067072),Banqiao,"Banqiao, T'ai-pei"
30164,177,75,46,1970/09/11,121.775248,25.165260,POINT (121.775248 25.165260),Keelung,"Keelung, T'ai-wan"
30165,184,62,31,1985/10/05,120.761254,24.290570,POINT (120.761254 24.290570),Fengyuan,"Fengyuan, T'ai-wan"
30166,176,62,25,1991/04/24,120.237995,22.991402,POINT (120.237995 22.991402),Tainan,"Tainan, T'ai-wan"
30167,182,74,23,1993/03/09,120.624984,24.167574,POINT (120.624984 24.167574),Taichung,"Taichung, T'ai-wan"
30168,157,75,32,1984/10/17,121.776325,24.759763,POINT (121.776325 24.759763),Yilan,"Yilan, T'ai-wan"
30169,156,46,35,1981/11/19,120.396850,23.346862,POINT (120.396850 23.346862),Xinying,"Xinying, T'ai-wan"
30170,170,48,22,1994/02/21,121.496179,25.037527,POINT (121.496179 25.037527),Banqiao,"Banqiao, T'ai-pei"
30171,161,69,49,1967/02/12,121.544130,25.065261,POINT (121.544130 25.065261),Taipei,"Taipei, T'ai-wan"
30172,172,60,32,1984/10/02,121.248272,24.952915,POINT (121.248272 24.952915),Taoyuan City,"Taoyuan City, T'ai-wan"
30173,177,76,38,1978/03/07,120.260550,22.922748,POINT (120.260550 22.922748),Tainan,"Tainan, T'ai-wan"
30174,160,72,20,1996/12/23,121.441022,25.093427,POINT (121.441022 25.093427),Banqiao,"Banqiao, T'ai-pei"
30175,185,95,27,1989/10/08,121.568120,25.060397,POINT (121.568120 25.060397),Taipei,"Taipei, T'ai-wan"
30176,162,75,18,1998/09/09,121.446377,25.006913,POINT (121.446377 25.006913),Banqiao,"Banqiao, T'ai-pei"
30177,170,65,26,1990/04/11,121.462534,25.011300,POINT (121.462534 25.011300),Banqiao,"Banqiao, T'ai-pei"
30178,155,68,22,1994/10/11,121.542178,25.020760,POINT (121.542178 25.020760),Taipei,"Taipei, T'ai-wan"
30179,177,59,37,1979/07/08,120.689930,24.144941,POINT (120.689930 24.144941),Taichung,"Taichung, T'ai-wan"
30180,177,64,29,1987/07/13,121.569924,25.001531,POINT (121.569924 25.001531),Taipei,"Taipei, T'ai-wan"
30181,166,84,45,1971/05/25,120.570396,24.052801,POINT (120.570396 24.052801),Chang-hua,"Chang-hua, T'ai-wan"
30182,165,75,49,1967/07/06,120.233732,22.973552,POINT (120.233732 22.973552),Tainan,"Tainan, T'ai-wan"
30183,181,98,23,1993/09/08,3.067223,50.657429,POINT (3.067223 50.657429),Lille,"Lille, Nord-Pas-de-Calais"
30184,167,81,50,1966/01/18,121.229951,24.848362,POINT (121.229951 24.848362),Daxi,"Daxi, T'ai-wan"
30185,184,57,39,1977/07/22,121.586547,25.077140,POINT (121.586547 25.077140),Taipei,"Taipei, T'ai-wan"
30186,153,69,22,1994/10/21,120.812185,24.593651,POINT (120.812185 24.593651),Miaoli,"Miaoli, T'ai-wan"
30187,163,94,22,1994/07/04,120.671162,24.105280,POINT (120.671162 24.105280),Taichung,"Taichung, T'ai-wan"
30188,177,51,18,1998/08/19,121.443970,25.029768,POINT (121.443970 25.029768),Banqiao,"Banqiao, T'ai-pei"
30189,162,78,20,1996/10/23,103.862196,1.226194,POINT (103.862196 1.226194),Singapore,"Singapore, Singapore"
30190,170,71,27,1989/05/27,120.939205,24.834611,POINT (120.939205 24.834611),Hsinchu,"Hsinchu, T'ai-wan"
30191,181,68,32,1984/04/06,120.330884,23.429169,POINT (120.330884 23.429169),Taibao,"Taibao, T'ai-wan"
30192,180,99,35,1981/04/10,120.234535,22.908215,POINT (120.234535 22.908215),Tainan,"Tainan, T'ai-wan"
30193,167,69,23,1993/07/20,121.238298,24.832040,POINT (121.238298 24.832040),Daxi,"Daxi, T'ai-wan"
30194,156,66,31,1985/04/01,120.577827,24.000801,POINT (120.577827 24.000801),Chang-hua,"Chang-hua, T'ai-wan"
30195,165,63,29,1987/12/14,120.878544,24.551719,POINT (120.878544 24.551719),Miaoli,"Miaoli, T'ai-wan"
30196,165,63,44,1972/08/02,121.516589,25.001333,POINT (121.516589 25.001333),Taipei,"Taipei, T'ai-wan"
30197,166,60,45,1971/02/05,120.592027,24.089073,POINT (120.592027 24.089073),Chang-hua,"Chang-hua, T'ai-wan"
30198,160,64,38,1978/11/14,120.900717,24.874584,POINT (120.900717 24.874584),Hsinchu,"Hsinchu, T'ai-wan"
30199,181,61,40,1976/10/25,121.547767,25.054979,POINT (121.547767 25.054979),Taipei,"Taipei, T'ai-wan"
30200,173,88,36,1980/07/07,120.391650,22.615394,POINT (120.391650 22.615394),Kaohsiung,"Kaohsiung, Kao-hsiung"
30202,153,64,25,1991/11/22,121.502973,25.059214,POINT (121.502973 25.059214),Taipei,"Taipei, T'ai-wan"
30203,179,45,38,1978/02/04,-117.147074,33.670917,POINT (-117.147074 33.670917),Irvine,"Irvine, California"
30204,175,68,25,1991/07/10,120.686396,24.189383,POINT (120.686396 24.189383),Taichung,"Taichung, T'ai-wan"
30205,160,89,44,1972/05/15,121.473159,25.025492,POINT (121.473159 25.025492),Banqiao,"Banqiao, T'ai-pei"
30206,175,79,30,1986/10/05,121.595046,25.085844,POINT (121.595046 25.085844),Taipei,"Taipei, T'ai-wan"
30207,166,75,39,1977/11/06,120.921356,24.875110,POINT (120.921356 24.875110),Hsinchu,"Hsinchu, T'ai-wan"
30208,184,60,46,1970/09/04,121.486239,25.026137,POINT (121.486239 25.026137),Banqiao,"Banqiao, T'ai-pei"
30209,177,93,45,1971/12/01,121.511082,25.026026,POINT (121.511082 25.026026),Taipei,"Taipei, T'ai-wan"
30210,183,94,28,1988/03/21,127.067604,37.276448,POINT (127.067604 37.276448),Suwon,"Suwon, Gyeonggi"
30211,151,56,36,1980/11/28,120.315831,22.643572,POINT (120.315831 22.643572),Fengshan,"Fengshan, T'ai-wan"
30213,162,99,33,1983/12/11,121.229783,24.977210,POINT (121.229783 24.977210),Taoyuan City,"Taoyuan City, T'ai-wan"
30214,175,64,38,1978/06/24,120.208237,22.947959,POINT (120.208237 22.947959),Tainan,"Tainan, T'ai-wan"
30215,174,53,49,1967/06/14,121.425369,25.069372,POINT (121.425369 25.069372),Banqiao,"Banqiao, T'ai-pei"
30216,185,71,41,1975/11/09,120.529077,24.014127,POINT (120.529077 24.014127),Chang-hua,"Chang-hua, T'ai-wan"
30217,166,68,26,1990/01/14,120.337038,22.683370,POINT (120.337038 22.683370),Kaohsiung,"Kaohsiung, Kao-hsiung"
30218,181,58,37,1979/10/20,121.282164,24.971248,POINT (121.282164 24.971248),Taoyuan City,"Taoyuan City, T'ai-wan"
30219,175,74,46,1970/01/23,120.835501,24.579734,POINT (120.835501 24.579734),Miaoli,"Miaoli, T'ai-wan"
30220,161,68,41,1975/01/25,120.970637,24.856690,POINT (120.970637 24.856690),Hsinchu,"Hsinchu, T'ai-wan"
30221,167,73,47,1969/09/15,121.525877,25.087744,POINT (121.525877 25.087744),Taipei,"Taipei, T'ai-wan"
30222,164,49,33,1983/07/24,120.236511,22.983552,POINT (120.236511 22.983552),Tainan,"Tainan, T'ai-wan"
30223,169,46,26,1990/11/12,120.720734,22.075671,POINT (120.720734 22.075671),Hengchun,"Hengchun, T'ai-wan"
30224,181,58,36,1980/07/24,121.590726,25.002521,POINT (121.590726 25.002521),Taipei,"Taipei, T'ai-wan"
30225,157,69,21,1995/04/24,120.373356,22.698092,POINT (120.373356 22.698092),Fengshan,"Fengshan, T'ai-wan"
30226,173,90,31,1985/06/08,121.762975,24.787229,POINT (121.762975 24.787229),Yilan,"Yilan, T'ai-wan"
30227,177,72,50,1966/12/03,121.425010,25.007586,POINT (121.425010 25.007586),Banqiao,"Banqiao, T'ai-pei"
30228,160,77,32,1984/07/19,120.523627,24.043022,POINT (120.523627 24.043022),Chang-hua,"Chang-hua, T'ai-wan"
30229,168,60,42,1974/03/14,121.490492,25.037411,POINT (121.490492 25.037411),Banqiao,"Banqiao, T'ai-pei"
30230,175,54,21,1995/09/02,121.554616,25.079349,POINT (121.554616 25.079349),Taipei,"Taipei, T'ai-wan"
30231,171,92,43,1973/09/10,121.536801,25.082507,POINT (121.536801 25.082507),Taipei,"Taipei, T'ai-wan"
30232,164,75,36,1980/03/14,121.551237,25.070897,POINT (121.551237 25.070897),Taipei,"Taipei, T'ai-wan"
30233,157,61,45,1971/03/28,120.927297,24.845595,POINT (120.927297 24.845595),Hsinchu,"Hsinchu, T'ai-wan"
30234,163,68,32,1984/02/08,120.683202,24.184976,POINT (120.683202 24.184976),Taichung,"Taichung, T'ai-wan"
30235,183,74,20,1996/12/24,121.762784,24.789178,POINT (121.762784 24.789178),Yilan,"Yilan, T'ai-wan"
30236,163,94,31,1985/06/03,121.569313,25.050624,POINT (121.569313 25.050624),Taipei,"Taipei, T'ai-wan"
30237,183,83,45,1971/11/08,121.465543,25.020840,POINT (121.465543 25.020840),Banqiao,"Banqiao, T'ai-pei"
30238,171,79,40,1976/07/11,121.512677,25.088764,POINT (121.512677 25.088764),Taipei,"Taipei, T'ai-wan"
30239,171,82,47,1969/07/05,115.235844,-8.318388,POINT (115.235844 -8.318388),Denpasar,"Denpasar, Bali"
30240,182,55,44,1972/05/04,120.583552,24.043021,POINT (120.583552 24.043021),Chang-hua,"Chang-hua, T'ai-wan"
30241,168,45,33,1983/12/03,121.574345,25.086269,POINT (121.574345 25.086269),Taipei,"Taipei, T'ai-wan"
